Country,Year,longitude,latitude,Tree loss,emissions 
BRA,2001,-87.56,33.21,67309.77199,43658063.11
BRA,2001,-37.71,-6.54,7475.453874,1835644.116
BRA,2001,-45.27,-4.96,13926.98469,8597544.278
BRA,2001,-63.29,-10.83,81439.17301,50363812.74
BRA,2001,-87.56,33.21,145822.4644,35983404.42
BRA,2001,-37.71,-6.54,13521.66444,2419371.448
BRA,2001,-45.27,-4.96,251.6442695,62311.98662
BRA,2001,-63.29,-10.83,22842.48782,8879384.072
BRA,2001,-87.56,33.21,73928.81873,18488933.54
BRA,2001,-37.71,-6.54,84245.8805,29266032.24
BRA,2001,-45.27,-4.96,118977.0725,28940417.55
BRA,2001,-63.29,-10.83,668329.3257,291313904.4
BRA,2001,-37.71,-6.54,157590.4146,42556631.17
BRA,2001,-45.27,-4.96,649120.224,351164807.8
BRA,2001,-63.29,-10.83,13229.92433,3395675.113
BRA,2001,-87.56,33.21,49505.3648,14189873.74
BRA,2001,-37.71,-6.54,12884.24772,2787784.639
BRA,2001,-45.27,-4.96,24323.17909,4982940.206
BRA,2001,-63.29,-10.83,4170.935493,1386850.991
BRA,2001,-87.56,33.21,9347.755677,1940464.709
BRA,2001,-37.71,-6.54,25897.369,6849430.324
BRA,2001,-45.27,-4.96,268969.0028,151176587.3
BRA,2001,-63.29,-10.83,56620.15669,30226148.31
BRA,2001,-37.71,-6.54,35072.83909,10215668.93
BRA,2001,-45.27,-4.96,56288.32515,19631138.72
BRA,2001,-63.29,-10.83,9652.706528,2201025.022
BRA,2001,-87.56,33.21,75618.36983,20123250.02
